fips,state,state_abbrev,fy,TotalStateSupport,TotalFinancialAid,GeneralPublicOperations,NetTuitionandFeeRevenue,NetFTEEnrollment
10,Delaware,DE,2004,191289000,10581184,172730916,248666292,29546
10,Delaware,DE,2005,203478000,11845562,183454538,262393757,30541
10,Delaware,DE,2006,216419000,11384334,196007066,313441019,31269
10,Delaware,DE,2007,233226000,13731317,210261883,336675056,31269
10,Delaware,DE,2008,241714400,15153670,213602830,349865514,31619
10,Delaware,DE,2009,243840165,15320510,216897255,379767784,32417
10,Delaware,DE,2010,242518560,15440800,199187560,426590796,33570
10,Delaware,DE,2011,212455800,15355500,185093600,468051904,34648
10,Delaware,DE,2012,213193700,15211234,187709966,533000003,34672
10,Delaware,DE,2013,216492700,15834503,189040997,559488627,34715
10,Delaware,DE,2014,227606200,15756922,202663417,593521558,35657
10,Delaware,DE,2015,226594100,16380223,200958221,616104774,36742
10,Delaware,DE,2016,230005700,15832189,205094425,637053033,36472
10,Delaware,DE,2017,234722700,15309359,210854784,632084404,35554
10,Delaware,DE,2018,237069500,14942286,213166582,683250735,36073
10,Delaware,DE,2019,247384870,16351608,222216800,713230253,36410
10,Delaware,DE,2020,274382482,16191165,230899700,753348786,35571
10,Delaware,DE,2021,306652829,16279299,235342100,700687518,36409
10,Delaware,DE,2022,303191558,17493278,238340500,715082904,33946
10,Delaware,DE,2023,275699544,19904176,245707500,751967688,36134
10,Delaware,DE,2024,285368886,21300552,253990300,792153510,37240
12,Florida,FL,2001,3124964661,326615901,2457581429,817660516,420957
12,Florida,FL,2002,3061544636,340879793,2396050520,927176999,442010
12,Florida,FL,2003,3235350981,377371669,2520543517,1000963320,476654
12,Florida,FL,2004,3302220098,414048812,2501593075,812769521,499972
12,Florida,FL,2005,3616495340,458162075,2833877093,886699197,504657
12,Florida,FL,2006,3843695214,523092551,2967427562,911375337,507927
12,Florida,FL,2007,3971019378,603891724,2964254565,928313873,518086
12,Florida,FL,2008,3988566231,651856070,2948000659,1051287717,540784
12,Florida,FL,2009,4107485788,687495333,3039183415,884861764,564963
12,Florida,FL,2010,3958273967,671442650,2618276607,1210873504,607246
12,Florida,FL,2011,4132825282,664650070,2701961365,1556597170,636320
12,Florida,FL,2012,3622861769,587620803,2632344058,1771336975,641446
12,Florida,FL,2013,3338709069,551810147,2379679218,1913833608,619179
12,Florida,FL,2014,3925291450,546526979,2947397550,1913789976,608226
12,Florida,FL,2015,4224418591,547427143,3215278967,1936262394,601198
12,Florida,FL,2016,4382879922,546594638,3388667918,1956399948,598660
12,Florida,FL,2017,4552475446,504418703,3581693035,1953472168,597279
12,Florida,FL,2018,5052883333,827558339,3770802765,1702415438,602623
12,Florida,FL,2019,5376596509,1002318800,3918347016,1547880831,608942
12,Florida,FL,2020,5503788819,1056661927,3988040080,1441492918,609447
12,Florida,FL,2021,5668824203,1092456186,4067125943,1370528781,595404
12,Florida,FL,2022,5852147476,1049100437,4281146381,1388070397,567038
12,Florida,FL,2023,6146368404,1011850809,4612006666,1340731840,561008
12,Florida,FL,2024,7188739306,1080863670,5566378793,1393864540,579477
13,Georgia,GA,2001,2293708414,278307588,1688498574,342297675,234998
13,Georgia,GA,2002,2307851766,326038043,1665115228,320939597,259566
13,Georgia,GA,2003,2320869396,372089041,1656485626,327744694,282373
13,Georgia,GA,2004,2360033322,417196005,1653427290,358641825,288475
13,Georgia,GA,2005,2472780431,434835968,1741997313,389750881,295356
13,Georgia,GA,2006,2647651316,444126905,1901365225,481930095,292655
13,Georgia,GA,2007,2784214521,461897633,1998968477,521390969,298512
13,Georgia,GA,2008,2971086133,472300909,2139187386,618836934,311717
13,Georgia,GA,2009,2907417173,520099134,1992477677,705562005,331967
13,Georgia,GA,2010,2979707008,637442830,1653380867,830474091,371921
13,Georgia,GA,2011,2976759287,747907040,1871860814,934203912,386534
13,Georgia,GA,2012,2664154607,551692379,1761684700,1313233421,379844
