State,FY,Actual_Tax_Revenue,Total_State_Support,Education_ Appropriations,General_Public_Operations,Total_ Financial_Aid,Net_Tuition_and_Fee_Revenue,Net_ FTE_Enrollment,State_Public_Financial_Aid
New Mexico,2019,10727960000,922458558,942079761,868166349,81906259,216692915,77040,73913412
New York,2019,1.92E+11,6114537039,6561421325,5802860723,1016424602,3239313034,537979,758560602
North Carolina,2019,44467970000,4263135610,3721952721,3579687223,258268070,1844842862,393922,142265498
North Dakota,2019,6438341000,358491256,275771197,260392629,18051963,301382893,33781,15378568
Ohio,2019,56080950000,2297931327,2200542911,2107467056,144321950,3175041731,386451,93075855
Oklahoma,2019,16727020000,908516745,812392203,709086226,113426783,906560487,128845,103305977
Oregon,2019,23041720000,894489883,912242989,825496295,92918281,1278445882,144290,86746694
Pennsylvania,2019,73842840000,1760283703,1649380403,1444406034,322661000,3649712102,331664,204974369
Rhode Island,2019,6336274000,197034373,195062908,181424466,15609907,294346630,31978,13638442
South Carolina,2019,19942930000,1137336753,954601254,616540658,436256479,1693485781,166740,338060596
South Dakota,2019,3854042000,243284466,196592804,190298667,8453421,268575664,32816,6294137
Tennessee,2019,25179370000,2036136587,1610321741,1196476398,510074301,1107447421,184418,413845343
Texas,2019,1.37E+11,8628398044,8854488411,8401552302,542648096,6984929888,1049033,452936109
Utah,2019,15425820000,1113971200,1017703946,990315889,27707207,797237115,128102,27388057
Vermont,2019,4190099000,92924297,63139447,53220824,20168796,365317927,20458,9918623
Virginia,2019,46705030000,2121187648,1827685990,1582929455,311309200,2595650993,302019,244756535
Washington,2019,45597530000,2037559000,1885359469,1585722328,347643191,1359918859,235981,299637141
West Virginia,2019,7925187000,491888995,332957675,251426339,89585105,485154263,66577,81531336
Wisconsin,2019,30468550000,1573280133,1614160999,1496215885,149526821,1356972814,209654,117945114
Wyoming,2019,3235532000,399063271,386469468,357925306,28586995,79445480,22194,28544162
U.S.,2019,1.86E+12,93454191215,91441619786,82595241451,11108350829,75363268959,10960300,8846378335
D.C.,2019,8455408000,99066770,93165903,87353491,5812412,30330175,3518,5812412
Alabama,2018,17114740000,1591575021,1186560181,1082045982,111580758,2494598844,202506,104514199
Alaska,2018,3564487000,344044814,310843056,294882865,19959639,96863088,17555,15960191
Arizona,2018,27442060000,875132900,1565514200,1554397500,15394000,2396663500,290816,11116700
Arkansas,2018,12575880000,982187681,771608069,670203175,121772555,663851140,114872,101404894
California,2018,2.74E+11,14355934305,16185961248,14671792200,1645458077,6496389967,1606728,1514169048
Colorado,2018,29508200000,900535300,837069999,691581843,155699125,2005667093,183875,145488156
Connecticut,2018,30008840000,1228902876,925304465,894980134,35700818,1087564847,86008,30324331
Delaware,2018,5333308000,237069500,227252682,213166582,14942286,683250735,36073,14086100
Florida,2018,83734510000,5052883333,4393719863,3770802765,827558339,1702415438,602623,622917098
Georgia,2018,40944790000,3488577527,3026764862,2402168163,696880439,1654826999,351519,624596699
Hawaii,2018,10363370000,716718368,610529243,605700243,5991566,229059656,36030,4829000
Idaho,2018,6724959000,481074380,458107893,445707662,13794218,369157678,53572,12400231
Illinois,2018,79024850000,4141202973,4569200181,4337327752,397390862,2382295361,314565,231872429
Indiana,2018,30134420000,1773727687,1420035922,1147940269,378908322,2248757808,247678,272095653
Iowa,2018,16186660000,804642010,675702076,668011037,56222963,1232001661,131609,7691039
Kansas,2018,15104070000,772091220,810107667,798678670,20289421,865619315,133815,11428997
Kentucky,2018,17913940000,1166497800,944735100,773355600,245815100,1187427151,144509,171379500
Louisiana,2018,20381890000,1159690661,860841440,568125463,317922059,787290926,161670,292715977
Maine,2018,7429827000,303435296,263883709,245820411,21089433,242888682,33945,18063298
Maryland,2018,39377620000,1985283870,2043429002,1955316899,108080338,1970421164,231761,88112103
Massachusetts,2018,48014060000,1618897918,1521946705,1459299586,100038332,1198792335,163673,62647119
Michigan,2018,43661140000,1917024500,2289035981,2279443781,16056800,4589404908,372155,9592200
Minnesota,2018,36181660000,1653249000,1382146326,1257109421,194019217,1665500120,187705,125036905
Mississippi,2018,11202410000,906049298,696444920,662972216,37855055,818640593,133630,33472704
Missouri,2018,24337200000,988536584,1104610760,1005751787,121744656,1035531639,186862,98858973
Montana,2018,4518694000,241493606,212698545,211146797,1551748,257907328,37374,1551748
Nebraska,2018,10383570000,747195808,711365976,695076626,21364079,486645393,76792,16289350
Nevada,2018,14216400000,718283374,631695793,535433424,96262369,307243293,76109,96262369
New Hampshire,2018,7230773000,131628243,118316735,114624169,3692566,418546343,37643,3692566
New Jersey,2018,66522760000,2279025000,2073983000,1763117000,444708000,2783573241,267251,310866000
New Mexico,2018,8527817000,875691659,888980765,825598906,65580040,295019930,80902,63381859
New York,2018,1.90E+11,5960109037,6330614158,5578757069,1024931089,3182916184,547033,751857089
North Carolina,2018,42297110000,4044470978,3539135502,3396870004,251602103,1853853257,392138,142265498
North Dakota,2018,5557765000,358491256,275443042,259903281,18541311,301991284,34969,15539761
Ohio,2018,54714730000,2300904761,2205620345,2118502382,141348575,3418060750,387109,87117963
Oklahoma,2018,14992080000,898526487,795723583,692309776,113843788,853920705,131083,103413807
Oregon,2018,20852750000,844446531,862458905,784527014,82663222,1304684751,148139,77931891
Pennsylvania,2018,69886860000,1713363000,1556724350,1359934702,359654222,3757198756,346930,196789648
Rhode Island,2018,6038240000,199553587,197561132,188853129,10700458,311670799,32270,8708003
South Carolina,2018,18871640000,1097979545,933049641,651458902,375965040,1771564133,164402,281590739
South Dakota,2018,3764321000,234058232,187475265,181325185,7491408,250723466,32899,6150080
Tennessee,2018,23869910000,1905231769,1491934520,1114343835,471674300,1129031389,182845,377590685
Texas,2018,1.29E+11,8621210643,8680697625,8224984563,563250717,6798974014,1044459,455713062
Utah,2018,14301700000,1029936100,940222746,918959146,21606200,778430045,125550,21263600
Vermont,2018,3951844000,92532338,63135887,53493332,19704330,356101762,20583,9642555
Virginia,2018,43315280000,2013572522,1727363187,1501115125,292250727,2520397702,303300,226248062
Washington,2018,43489810000,1906810000,1768153309,1487809309,323207211,1374175981,237289,280344000
West Virginia,2018,7548498000,471410031,318055193,235301547,91628786,509963321,68746,82753646
Wisconsin,2018,28969310000,1509157200,1550690619,1435382576,146633357,1335301970,211610,115308043
Wyoming,2018,2884830000,373759707,356962968,328255493,28736742,75379286,22699,28707475
U.S.,2018,1.77E+12,90013806236,87507623811,79113665298,10658756766,76538155731,11035878,8385753043
D.C.,2018,7772369000,89476352,83829921,78180000,5649921,32253974,3568,5649921
Alabama,2017,16410190000,1567340609,1143426040,1061021253,89037375,2315601640,198619,82404787
Alaska,2017,3050845000,352657901,316355251,300318422,19980376,97151888,18492,16036829
Arizona,2017,26032180000,860387300,1517455500,1506338800,15398000,2328921800,286335,11116700
Arkansas,2017,12027970000,974615738,772691447,673058573,119629740,644664818,116382,99632874
California,2017,2.48E+11,13288643713,15349839072,13867540265,1613465227,5878319317,1590692,1482298807
Colorado,2017,27423530000,874725598,808586966,666510764,151354530,1860752163,182212,142076202
