State,FY,Actual_Tax_Revenue,Total_State_Support,Education_ Appropriations,General_Public_Operations,Total_ Financial_Aid,Net_Tuition_and_Fee_Revenue,Net_ FTE_Enrollment,State_Public_Financial_Aid
Indiana,2009,23876220000,1639107213,1330199587,1125003171,249139502,1474328111,239873,160936223
Iowa,2009,11892340000,914194605,767162750,754853088,68407518,736705029,117254,12309662
Kansas,2009,11471070000,815609440,796440957,774660094,21440836,581970529,130930,12181564
Kentucky,2009,13859500000,1284097566,1034213300,907056498,193782325,829130145,144641,127156802
Louisiana,2009,17477720000,1564395611,1146326038,1004899916,153202568,401886698,169602,141426122
Maine,2009,5651435000,269992384,235615934,221313119,11722276,235590336,35968,7736702
Maryland,2009,26977340000,1613101952,1641311367,1562450262,97301230,1440862150,231079,78861105
Massachusetts,2009,32270720000,1242600543,1159615567,1052660163,99288934,913441670,155387,53195990
Michigan,2009,35913850000,2046065700,2362134970,2230422182,212512400,3078930151,409270,131712788
Minnesota,2009,24023940000,1556962532,1289567532,1166455532,153767000,1074658000,200732,92566000
Mississippi,2009,9000910000,978760459,717213318,693328998,28343212,487292732,121046,23884320
Missouri,2009,19219440000,1108459017,1163886139,1107502629,108737688,821042651,177751,56383510
Montana,2009,3487845000,207471410,185055743,178766352,6289391,181819569,36388,6289391
Nebraska,2009,7352002000,651703765,598766080,590837357,11191925,307693162,77825,7928723
Nevada,2009,10132800000,688730299,619119454,553616424,65503030,178663389,65665,65503030
New Hampshire,2009,4987644000,138531000,121736762,119636762,3431238,296252850,34311,2100000
New Jersey,2009,50919920000,2205750341,2084713341,1878205000,291069341,1819714745,246215,206508341
New Mexico,2009,6998589000,996108619,749231392,679356305,72835928,149026586,89450,69875087
New York,2009,1.35E+11,5174351842,4987199144,4505962144,834819000,2156691362,549718,481237000
North Carolina,2009,31657810000,3709737250,3086261807,2818321172,248892679,976787379,385792,140977664
North Dakota,2009,3314044000,253901000,199526401,196355652,3634348,230815574,36408,3170749
Ohio,2009,43949000000,2474062613,2122764595,1977612398,282836739,2338946820,391546,145152197
Oklahoma,2009,12236800000,1078158766,919962504,828996085,102352909,487360168,127058,90966419
Oregon,2009,12473610000,743058124,757808781,624966146,83113377,661029569,141532,77206283
Pennsylvania,2009,51918270000,2228734000,2021014023,1767594495,388642400,2969789103,353494,190567528
Rhode Island,2009,4765746000,191329662,183391185,174971682,16357980,202030502,31527,8419503
South Carolina,2009,13087110000,981323606,800034137,565958815,312438967,836570896,157467,234075322
South Dakota,2009,2554807000,199563285,158925695,145602539,3636933,163761059,31026,3061100
Tennessee,2009,17886840000,1663595500,1324230381,997673881,318507819,648210752,171950,244221700
Texas,2009,86232400000,6107243700,5758428218,5673463198,190839675,2928593850,861900,84965020
Utah,2009,8728976000,777757500,699380831,656711731,14591769,372251355,107649,13869100
Vermont,2009,2904321000,87189483,61177452,53017919,19217552,284133882,20400,8159533
Virginia,2009,31464330000,1899464085,1668385133,1533057271,196592080,1657951303,294436,135327862
Washington,2009,26980750000,1809447000,1606764058,1420221009,227724713,719705945,236742,186543049
West Virginia,2009,6406512000,518293576,374188677,300164185,84362775,344118461,74864,74024492
Wisconsin,2009,24124990000,1292041167,1653133908,1555371744,128041012,884668069,224113,97762164
Wyoming,2009,4044764000,327329344,323250493,300546540,22703953,43525758,23628,22703953
U.S.,2009,1.27E+12,79406965681,74462243344,67305166266,8286070162,44762065137,10741636,5755420073
Alabama,2008,14040760000,1961808342,1416023516,1382815126,38124653,996582749,187086,33208390
Alaska,2008,9735074000,300876424,273532065,272906315,2235975,77071159,18723,625750
Arizona,2008,22992380000,1340729292,1753797192,1742485192,17833500,953206500,233255,11312000
Arkansas,2008,9405740000,879882230,696190432,661590982,42980079,356333620,106206,34599450
California,2008,1.86E+11,11537879900,12395405487,11662504626,977507274,2529583180,1559382,732900861
Colorado,2008,19636240000,750967840,690736053,595561775,104770242,910615685,164638,95174278
Connecticut,2008,23115320000,1275728835,1070841570,1034480989,63844462,502751141,77088,36360581
Delaware,2008,3712421000,241714400,227048530,213602830,15153670,349865514,31619,13445700
Florida,2008,73351400000,3988566231,3427281970,2948000659,651856070,1051287717,540784,479281311
Georgia,2008,33632500000,2971086133,2565174463,2139187386,472300909,618836934,311717,425987077
Hawaii,2008,6736782000,554292000,466408097,465123198,2436164,129556002,35469,1284899
Idaho,2008,4939722000,410595600,381872662,374000762,9462538,135379600,43968,7871900
Illinois,2008,57834020000,3087877559,3352227925,3146173733,391762392,1464993648,358679,206054192
Indiana,2008,22954400000,1525216628,1237416872,1092718622,228503669,1328003433,229251,144698250
Iowa,2008,11541180000,873724167,732888698,723853238,64130118,683347067,115011,9035460
Kansas,2008,11877310000,825697884,793132532,780415926,21984037,515447096,127940,12716606
Kentucky,2008,14156700000,1320540000,1073720800,955576000,182623900,755493081,142382,118144800
Louisiana,2008,17950500000,1598519738,1175380410,1052457952,133623482,359659337,165155,122922458
Maine,2008,5932772000,271117262,237352133,229162297,12408842,213074231,35533,8189836
Maryland,2008,27651050000,1555048366,1569011572,1480948654,108766059,1279657112,207255,88062918
Massachusetts,2008,33997340000,1347344567,1264134100,1213755954,92732814,853664658,148288,50378146
Michigan,2008,37649870000,2033709000,2347849381,2197822193,231211800,2825521594,395019,150027188
Minnesota,2008,24723890000,1560644000,1300087000,1212257000,149866000,1013766000,196014,87830000
Mississippi,2008,9212798000,1045937317,766657270,740456988,31200581,449511043,117673,26200282
Missouri,2008,19872540000,1021705137,1081989828,1033946708,89649092,744495198,164160,48043120
Montana,2008,3448016000,196547880,175634257,170737493,4896764,172667630,35556,4896764
Nebraska,2008,7508042000,635032800,549130683,541407231,10806006,284690255,75451,7723452
Nevada,2008,10587740000,674142907,604631107,550520781,54110326,160289079,63324,54110326
New Hampshire,2008,4962804000,133093000,116929188,115529188,2679812,280081775,32982,1400000
New Jersey,2008,53790900000,2266628700,2116824700,1930307000,265803700,1600960729,238040,186517700
New Mexico,2008,7746740000,1055392463,814814127,751675566,67329507,130164857,85203,63138561
New York,2008,1.38E+11,4854527932,4632609166,4189015166,803910000,1987509682,526539,443594000
North Carolina,2008,33207940000,3837233489,3200333453,3091047541,211833189,945274969,357601,109285912
North Dakota,2008,3174007000,253901000,199540127,196299163,3690837,212695156,34955,3240964
Ohio,2008,46660180000,2288294736,1957897599,1830365953,256102035,2269813777,375932,127531646
Oklahoma,2008,12314540000,1098881179,939894248,854827829,94559740,432894102,131191,85066419
Oregon,2008,12531550000,725761919,730241245,686708839,48637397,646144772,129626,43532406
Pennsylvania,2008,54109610000,2193274000,1995616254,1764892033,412978402,2653597434,343043,230724221
Rhode Island,2008,4873788000,191329662,183391185,174971682,16357980,202030502,30839,8419503
South Carolina,2008,13162700000,1211068342,946066836,727614103,294145460,813867632,149541,218452733
South Dakota,2008,2499901000,198949272,160252581,157436481,3362934,152436029,29595,2816100
Tennessee,2008,18999630000,1639461400,1293217791,1070384791,291311209,614742716,167198,222833000
Texas,2008,86382690000,6347752622,5892085981,5832879842,165080794,3059317207,804918,59206139
Utah,2008,9371460000,812337500,736020600,722416000,14074400,370386529,103320,13604600
Vermont,2008,2935601000,90801445,63232979,54617770,20676573,252784635,19886,8615209
Virginia,2008,32706640000,1885553314,1636666238,1510601614,186808842,1486788271,281940,126064624
Washington,2008,28589570000,1768291000,1568303000,1395251000,211601000,668292000,221264,173052000
West Virginia,2008,6428072000,566498528,431688349,365592584,75548499,313017403,73525,66095765
Wisconsin,2008,24372340000,1242536879,1585174484,1486757384,126963115,852504481,219006,98417100
Wyoming,2008,3693784000,290507515,297829284,279848371,17980913,52250946,23054,17980913
U.S.,2008,1.33E+12,80739008336,75124186020,69803510510,7798217756,41712905867,10265824,5320675510
Alabama,2007,13529680000,1685067489,1211654323,1176438275,38468406,980855685,182504,35216048
Alaska,2007,4944487000,288130939,260704504,260175754,2106689,71508360,18666,528750
Arizona,2007,23334610000,1207385330,1586517430,1578085430,17402700,884583900,229558,8432000
Arkansas,2007,9179047000,796303595,628684148,599781353,37659561,330964981,103369,28902795
California,2007,1.80E+11,10925004700,11700128706,10997341576,955184124,2322744728,1504909,702787130
Colorado,2007,18635490000,693086984,626567535,538809776,98656104,788437172,157382,87757759
Connecticut,2007,21516150000,1115082198,946230128,923951455,41285259,475906270,74951,22278673
Delaware,2007,3658385000,233226000,221922783,210261883,13731317,336675056,31269,11660900
Florida,2007,72973630000,3971019378,3403649600,2964254565,603891724,928313873,518086,439395035
Georgia,2007,33087580000,2784214521,2414618903,1998968477,461897633,521390969,298512,415650426
Hawaii,2007,6544852000,503627000,426961535,426176636,1708899,115138280,35010,784899
Idaho,2007,4761713000,375281600,347911884,341783884,7503716,145235800,43378,6128000
Illinois,2007,55078680000,2848129600,2999170497,2746612897,442851200,1166887243,357931,252557600
Indiana,2007,21323070000,1456514140,1195491991,1063462466,208743915,1337494158,223483,132029525
Iowa,2007,10933480000,804448696,678357011,671146460,59832926,647191734,112934,7210551
Kansas,2007,11354320000,788720641,756810166,746703804,18619741,518603626,127245,10106362
Kentucky,2007,13705290000,1253992000,990093000,870040900,185240000,674152806,140621,120052100
Louisiana,2007,17593360000,1459847337,1106675165,996009164,120298754,438968999,166671,110666001
Maine,2007,5742620000,256024310,223824045,214927856,12708841,195493405,35514,8896189
Maryland,2007,27064830000,1450214753,1472786224,1388980718,105694398,1226801471,197966,83805506
Massachusetts,2007,32120070000,1256792868,1176223601,1128493024,88049787,786638582,143565,47730577
Michigan,2007,37086100000,2035388000,2311949281,2158256493,242312400,2508594625,384455,153692788
Minnesota,2007,23661070000,1400500000,1145995000,1052175000,156954000,942968000,191456,93820000
Mississippi,2007,8819063000,879465904,657647588,632017971,30683563,387252963,115739,25629617
Missouri,2007,19171170000,978771911,1058317439,1035870115,41309942,696067772,163354,22447324
Montana,2007,3271505000,171368691,151654935,147078200,4576735,170343696,35293,4576735
Nebraska,2007,7210510000,604025649,543741074,537254832,10501973,243112008,73940,6486242
Nevada,2007,10443900000,652691156,585634843,526719406,58915437,144828351,61323,58915437
New Hampshire,2007,4742721000,123966000,108139652,106923332,2730668,257155680,32092,1216320
New Jersey,2007,51427580000,2100392895,1952907895,1779756000,250555895,1460040782,229968,173151895
New Mexico,2007,7454721000,981229395,735718918,672060213,67483982,78273295,83224,63658705
New York,2007,1.34E+11,4569391184,4317699971,3872118055,835309916,1899290031,508911,445581916
North Carolina,2007,32421860000,3466352712,2904811761,2813489192,189759399,895392495,344056,91322569
North Dakota,2007,2599619000,215719000,168815828,166884797,2238203,205978706,33905,1931031
Ohio,2007,45694580000,2208183856,1878781805,1769615138,240334653,2229312108,366629,109166667
Oklahoma,2007,11821690000,1033365199,883899579,811476017,80405171,399399976,132093,72423562
Oregon,2007,12748680000,640983571,651230190,610821059,45108683,614282359,125113,40409131
Pennsylvania,2007,52108200000,2153998000,1953020886,1723478370,412772944,2458051547,337425,229542516
Rhode Island,2007,4786124000,196360781,189391902,182343544,14017237,230424270,29642,7048358
South Carolina,2007,13795370000,1127265244,883319864,677375447,277092531,782124686,145859,205944417
South Dakota,2007,2389938000,178777732,142237076,140413976,2156600,153590612,29231,1823100
Tennessee,2007,18817620000,1505273700,1190378700,1011046700,236818000,594334400,166628,179332000
Texas,2007,82035600000,5709136834,5168486206,5129171978,147944385,2819849888,794211,39314228
Utah,2007,9093004000,718208600,646184900,636683500,9666900,332048600,102372,9501400
Vermont,2007,2934732000,85923033,60627535,52894850,18041788,233158680,19381,7732685
Virginia,2007,32374020000,1854731000,1606430358,1494111533,163132943,1340218673,273039,112318825
Washington,2007,27541840000,1631059000,1454251000,1294699000,194084000,621774000,214847,159552000
West Virginia,2007,6101665000,455444801,334192655,265989393,72021532,286258678,72679,68203262
Wisconsin,2007,23328670000,1170359461,1495602616,1414084112,107848117,838083635,215098,81518504
Wyoming,2007,3246518000,276929650,286617303,274719108,11898195,50851261,22569,11898195
U.S.,2007,1.28E+12,75277377038,69842669939,64831933684,7448211486,38767048875,10008056,5010736255
Alabama,2006,12768350000,1407875152,1017232186,996616290,22871385,928215874,180985,20615896
Alaska,2006,3664728000,253127124,229099268,228673768,1964242,66166689,18795,425500
Arizona,2006,19940350000,1087144898,1425527898,1420595898,9506000,798347600,227283,4932000
Arkansas,2006,8747018000,752020512,590353209,563348513,34435057,304455656,101344,27004696
California,2006,1.64E+11,10057247050,10842345321,10136596765,971607285,2215120541,1447723,705748556
Colorado,2006,17223540000,638765653,587886517,517294491,78435584,819683715,158876,70592026
Connecticut,2006,19871970000,984301293,852032917,831729276,38161567,456253859,73608,20303641
Delaware,2006,3618436000,216419000,206268466,196007066,11384334,313441019,31269,10261400
Florida,2006,66695230000,3843695214,3339398274,2967427562,523092551,911375337,507927,371970712
Georgia,2006,31025460000,2647651316,2299321955,1901365225,444126905,481930095,292655,397956730
Hawaii,2006,6199404000,461171000,384013383,383728484,1208899,96514931,35337,284899
Idaho,2006,4502606000,363077200,334073061,327560061,7896339,132226700,44504,6513000
Illinois,2006,52144340000,2640436585,2785774681,2579276597,369779884,1068731217,356491,206498084
Indiana,2006,22950380000,1429113393,1174418827,1073099782,173968456,1280885986,219944,101319045
Iowa,2006,10256460000,779847282,652720724,645147825,57692925,601559014,112341,7572899
Kansas,2006,10451860000,773953552,739285617,730452153,17153360,460343135,127645,8833464
Kentucky,2006,13558450000,1207616000,953017869,833711786,175337814,595839163,140769,119306083
Louisiana,2006,15723970000,1285481337,953377039,844685431,116287208,457672954,166536,108691608
Maine,2006,5805560000,244070644,212865995,204764509,12463825,179955786,35235,8101486
Maryland,2006,25788810000,1272254989,1237913156,1152551384,104183630,1188600427,192614,85361772
Massachusetts,2006,30635650000,1147151288,1071141063,1028400071,81566771,733106890,139874,42740992
Michigan,2006,36016900000,2012271300,2259473450,2104030650,246362400,2296826143,378034,155442800
Minnesota,2006,22490580000,1365500000,1116384000,1046139000,124950000,882721000,189009,70245000
Mississippi,2006,8180449000,772365105,594890222,568620985,31769261,367148710,117731,26269237
Missouri,2006,18311740000,926756453,997826662,975442886,41674597,693098974,160918,22383776
Montana,2006,3019675000,172767000,154359669,150460030,3899639,159219887,35429,3899639
Nebraska,2006,6874574000,564842378,505795071,499722048,10394624,258668074,72622,6073023
Nevada,2006,9763849000,631235737,570898736,495204161,75694575,141580520,60948,75694575
New Hampshire,2006,4517017000,117172000,103083613,101048565,3184435,216296796,31720,2035048
New Jersey,2006,47307680000,2148270422,1976491422,1810804000,234836422,1360753850,228080,165687422
New Mexico,2006,6974456000,831638173,734141885,679430439,57821234,130669321,79645,54711446
New York,2006,1.24E+11,4149285333,3861589772,3404896286,875633486,1827338578,500659,456693486
North Carolina,2006,30012760000,3062511308,2547245407,2474521837,164416070,867683333,338644,72723570
North Dakota,2006,2367651000,215031000,168051720,166585269,1863731,191056715,34302,1466451
Ohio,2006,43246870000,2142242026,1853436113,1755035952,189396015,2040646250,363598,98400161
Oklahoma,2006,11257270000,890540061,760831024,702952112,64688477,379321805,134940,57878912
Oregon,2006,12402980000,621273625,627965206,592876770,38641755,584502257,126443,35088436
Pennsylvania,2006,49062640000,2047114000,1852236000,1652068755,376969245,2330137880,327235,200167245
Rhode Island,2006,4679980000,192854763,185472885,178932477,13922286,206253785,28475,6540408
South Carolina,2006,12444150000,1050223497,825503123,631434510,256948820,758593690,144401,194068613
South Dakota,2006,2240776000,165577963,130177449,128979949,1424000,141554716,29254,1197500
Tennessee,2006,17240320000,1371036300,1093164000,959565800,177024300,601457400,159746,133598200
Texas,2006,75732050000,5700130286,5151060280,5102080263,178705432,2450413035,820788,48980017
Utah,2006,8283153000,690228000,620054200,612967900,7385200,317842306,104350,7086300
Vermont,2006,2752997000,82067786,57177581,49343518,18308867,211953021,18868,7834063
Virginia,2006,30058820000,1594605000,1387342351,1290761488,142964581,1255004451,265615,96580863
Washington,2006,25168810000,1536329000,1371355000,1218805000,184659000,575283000,213055,152550000
West Virginia,2006,5882442000,416660839,301078429,240073308,63768936,270792052,71717,61005121
Wisconsin,2006,22299550000,1111470921,1415213377,1337439573,106954907,784367472,214065,77773804
Wyoming,2006,3136120000,251244326,246773759,235804619,10969140,51191670,22483,10969140
U.S.,2006,1.19E+12,70325665084,65358639832,60729061087,6958355456,36442803279,9884529,4628078745
Alabama,2005,11686680000,1214819772,882129435,863875150,20375209,889016616,180517,18254285
Alaska,2005,2947034000,232956428,210187282,210187282,1507300,58628479,18720,0
Arizona,2005,18331120000,998449968,1295147968,1291715968,6510600,717103100,226420,3432000
Arkansas,2005,8053926000,655270998,500047256,478309026,29001838,277284010,99231,21738230
California,2005,1.47E+11,9193112400,9941565950,9264810018,924854382,2091548571,1446593,676755932
Colorado,2005,15680820000,601126358,550896704,481848365,76720377,754347817,162711,69048339
Connecticut,2005,18896810000,934765872,808118592,787966647,37408389,417707646,72278,20151945
Delaware,2005,3277387000,203478000,193947638,183454538,11845562,262393757,30541,10493100
Florida,2005,59863880000,3616495340,3163962883,2833877093,458162075,886699197,504657,330085790
Georgia,2005,27486110000,2472780431,2130921041,1741997313,434835968,389750881,295356,388923728
Hawaii,2005,5523747000,409727000,334792180,334506781,1209399,89702785,35733,285399
Idaho,2005,4182546000,350879700,323142733,316719800,7770500,133646167,45024,6422933
Illinois,2005,49138500000,2685920700,2772216232,2575677428,365452804,1041851602,356798,196538804
Indiana,2005,21337080000,1417478385,1166947113,1054585085,180476581,1171407183,220359,112362028
Iowa,2005,9704861000,743121766,621638579,614752864,54942512,587759920,117737,6885715
Kansas,2005,9385496000,727534311,698560363,690620303,15729265,420796793,111948,7940060
Kentucky,2005,12261810000,1076740400,842477700,732267300,162717700,556674306,140579,110210400
Louisiana,2005,14302000000,1287848788,953707888,848016672,116325116,364239362,183409,105691216
Maine,2005,5219708000,241255620,210730082,202928398,12002590,172488353,35167,7801684
Maryland,2005,23899060000,1185321898,1175634849,1115333910,72526892,1123872138,196626,60300939
Massachusetts,2005,28756960000,1037527876,966865652,922850250,81403626,694158259,137677,44015402
Michigan,2005,35295160000,1947744600,2173181000,2077707700,182166400,2111406239,371950,95473300
Minnesota,2005,20956640000,1273328000,1044511000,975641000,125440000,843952000,190087,68870000
Mississippi,2005,7490681000,761417563,580161459,554868798,30895807,364623757,118060,25292661
Missouri,2005,17374260000,925045604,991538020,970844228,40333886,684138450,158958,20693792
Montana,2005,2722702000,152582000,135608365,132217939,3390426,147629550,35259,3390426
Nebraska,2005,6586238000,519741659,423214265,418396973,10950477,233148317,71932,4817292
Nevada,2005,9043570000,575772352,526989996,453241527,73748469,133367358,59746,73748469
New Hampshire,2005,4319777000,115367000,101796786,100039200,2702800,201244770,30885,1757586
New Jersey,2005,42557350000,2072768234,1927126234,1773831000,223667234,1260429527,226969,153295234
New Mexico,2005,6069328000,754737083,657265521,606771550,53427733,98813286,79219,50493971
New York,2005,1.11E+11,3826466335,3532718221,3091322221,874983000,1782286506,498039,441396000
North Carolina,2005,27307110000,2780767364,2288178220,2152570018,224434414,745665011,339034,135608202
North Dakota,2005,2121388000,201545000,158351818,156875720,1806280,170996936,34629,1476098
Ohio,2005,41714750000,2102153594,1805693629,1706002335,194357565,1894058371,381073,99691294
Oklahoma,2005,10073100000,787076396,665030172,621269910,48621662,340807791,136424,43760262
Oregon,2005,11106990000,585749933,585327041,564474129,24194416,577947065,127059,20852912
Pennsylvania,2005,46019260000,2015637000,1801230000,1623995535,358412465,2163629404,326675,177234465
Rhode Island,2005,4499624000,188033394,180417154,173441684,14591710,190438106,28677,6975470
South Carolina,2005,11800640000,976616957,759742915,577472629,243903334,689770444,142567,182270286
South Dakota,2005,2103820000,162783467,129426920,128758922,807500,137554980,28523,667998
Tennessee,2005,15993140000,1328874600,1088206600,983572000,120708400,569389000,159718,104634600
Texas,2005,69133860000,5110262835,4375857793,4335232415,133488403,2096714563,812696,40625378
Utah,2005,7303964000,646914100,579091900,571250300,8146700,295270299,107703,7841600
Vermont,2005,2574761000,78008810,54285388,47612922,16567815,188735404,18059,6672466
Virginia,2005,27659190000,1480522000,1286860223,1198158085,131469325,1170561799,260813,88702138
Washington,2005,22974040000,1411664000,1255551000,1126982000,160597000,558471000,213801,128569000
West Virginia,2005,5550746000,426408695,308461762,257362450,55411889,247028296,70786,51099312
Wisconsin,2005,21403530000,1121729480,1416601080,1351537602,90969831,723254719,212752,65063478
Wyoming,2005,2671853000,217638250,221003520,210405045,10598475,48868911,22426,10598475
U.S.,2005,1.09E+12,65833968316,60797066122,56488156028,6532572101,33771278801,9882600,4308910094
Alabama,2004,10535370000,1167536776,858965823,841675393,19460984,805323633,183167,17290430
Alaska,2004,2375631000,217143250,196508104,196508104,1507300,51969197,18802,0
Arizona,2004,16481170000,932131463,1226061263,1222629263,6510600,642394000,221824,3432000
Arkansas,2004,6973165000,661092428,510063319,487439475,30961878,248421856,96292,22623844
California,2004,1.34E+11,8604602850,9694081159,9167947836,773107014,1814693996,1445866,526133323
Colorado,2004,14581560000,581722070,520407125,451880446,76140754,757523831,161181,68526679
Connecticut,2004,17220110000,890450394,767130594,747737016,36263404,373850696,70030,19393578
Delaware,2004,2994328000,191289000,182592016,172730916,10581184,248666292,29546,9861100
Florida,2004,53789450000,3302220098,2797348226,2501593075,414048812,812769521,499972,295755151
Georgia,2004,25654760000,2360033322,2019786761,1653427290,417196005,358641825,288475,366359471
Hawaii,2004,4812056000,398836000,328445296,328160776,1208520,83470000,35441,284520
Idaho,2004,3805827000,339515800,313089354,306997900,7310000,113029246,45184,6091454
Illinois,2004,45190730000,2682059000,2722475126,2529832326,362175800,907364644,356961,192642800
Indiana,2004,18675020000,1360311954,1114488983,1013454262,166430775,1089775941,219021,101034721
Iowa,2004,9018748000,737622332,618091623,612676447,51535036,552968127,117664,5415176
Kansas,2004,9241973000,685831995,654808166,648852182,12633730,366429005,110243,5955984
Kentucky,2004,11460490000,1108687600,900194300,784742400,140148200,459856335,140056,115451900
Louisiana,2004,13065430000,1245307618,925480367,825961617,110273926,357356559,183276,99518750
Maine,2004,4982541000,231511927,203660424,195743959,12179177,169289711,34516,7916465
Maryland,2004,22331130000,1149052302,1133678255,1076034941,73871704,954574104,165502,57643314
Massachusetts,2004,27015150000,914864013,847333321,802212537,82536021,641820773,137279,45120784
Michigan,2004,33478180000,1984292700,2176260500,2077265212,189712388,1993823713,368600,98995288
Minnesota,2004,19423640000,1286064000,1056311000,993968000,119214000,756096000,189848,62343000
Mississippi,2004,7088719000,766999520,575014496,548489045,32478438,322651477,115613,26525451
Missouri,2004,16255380000,905182688,967730455,945558529,41171348,573031972,167742,22171926
Montana,2004,2431335000,150576424,134628751,131257839,3370912,135238192,35785,3370912
Nebraska,2004,6307884000,509188758,388446196,383520496,9395143,234913412,71310,4925700
Nevada,2004,7971598000,537672786,489251064,431425976,57825088,119748910,57219,57825088
New Hampshire,2004,4069671000,112446000,99055727,97165782,2990218,157692990,30495,1889945
New Jersey,2004,39558280000,1669059770,1555722770,1417930000,204589770,1169861987,201756,137792770
New Mexico,2004,5444158000,722607896,648126296,604873261,46020735,76215579,79634,43253035
New York,2004,1.01E+11,3315034829,3139200270,2710462270,706488000,1779004680,489756,428738000
North Carolina,2004,25012460000,2474773000,2111270000,2017354000,176577000,695711000,315159,93916000
North Dakota,2004,1901047000,200430000,157299405,155832234,1755766,142580341,35322,1467171
Ohio,2004,39151220000,2071649135,1788553863,1701896963,176891714,1719801313,360835,86656900
Oklahoma,2004,9434943000,765570476,649905672,611986410,42043290,289584404,133393,37919262
Oregon,2004,10474210000,588544493,580250397,561480155,21785033,531074624,126970,18770242
Pennsylvania,2004,42717860000,1946617000,1727868000,1557270854,351081146,1973574449,322665,170597146
Rhode Island,2004,4202266000,183664198,177104304,171041442,12622756,171945645,29134,6062862
South Carolina,2004,11176610000,925611695,718001377,552210967,222169150,603218854,143071,165790410
South Dakota,2004,2015928000,153592900,123316596,123227496,89100,128234797,28154,89100
Tennessee,2004,14946640000,1089739600,857195180,828951222,44478378,593378327,161104,28243958
Texas,2004,64738770000,5190201119,4294693959,4272283834,115512002,1844180359,799142,22410125
Utah,2004,6621225000,614439000,548367400,542281300,6306100,277724363,108636,6086100
Vermont,2004,2286183000,77222258,52794333,45821988,17686270,172909364,17429,6972345
Virginia,2004,25002300000,1346281000,1167725932,1085195578,122065638,1011091871,257534,82530354
Washington,2004,21424930000,1360709000,1212221000,1093292000,147357000,503369000,220041,118929000
West Virginia,2004,4967505000,405472640,281143990,241054634,45058653,216386529,69466,40089356
Wisconsin,2004,20440990000,1124646475,1397330416,1337938950,84540249,629757345,212880,59391466
Wyoming,2004,2245265000,200615570,200758054,190759688,9998366,45832464,22225,9998366
U.S.,2004,1.01E+12,62440727122,57810237008,54000034286,5817354475,30678823253,9731216,3810202722
Alabama,2003,9430347000,1162194091,853896083,838235969,21193624,687549198,180654,15660114
Alaska,2003,2042514000,212658887,192177845,192177845,1507300,45931797,17974,0
Arizona,2003,14397930000,924384710,1182635910,1179203910,6665200,535517900,215146,3432000
Arkansas,2003,6319295000,616911000,467643771,445428563,30770134,217623665,92508,22215208
California,2003,1.17E+11,9332329700,10247288563,9877994550,612496150,1430864105,1459682,369294013
Colorado,2003,12654190000,606544478,536176196,443790196,101948926,619189050,156258,92386000
Connecticut,2003,15088010000,898552550,775280943,754342243,38783527,313558465,68062,20938700
Delaware,2003,2597286000,182065000,172991541,162842176,11245524,241371155,31028,10149365
Florida,2003,46335060000,3235350981,2774468127,2520543517,377371669,1000963320,476654,253924610
Georgia,2003,23217580000,2320869396,1982068886,1656485626,372089041,327744694,282373,325583260
Hawaii,2003,4409015000,369649000,302030048,301744048,1211000,71450000,34420,286000
Idaho,2003,3309246000,336641700,310538038,304264400,7369500,99837062,43104,6273638
Illinois,2003,40026750000,2716756400,2714920945,2521994945,364825100,793786800,348182,192926000
Indiana,2003,18262260000,1315842145,1080376092,995531986,149393117,998671290,213728,84844106
Iowa,2003,7876463000,769854449,653708676,648294797,52517549,510572165,115060,5413879
Kansas,2003,8044284000,679829546,628022524,621251572,14209178,313852084,109045,6770952
Kentucky,2003,11093440000,1068765000,891845865,815690466,89492934,351877852,141005,76155399
Louisiana,2003,12292580000,1196304128,935828023,841822249,104562057,318119057,177275,94005774
Maine,2003,4439066000,234088660,205381523,197279946,12463964,137765582,32736,8101577
Maryland,2003,19566070000,1216838045,1178107377,1118970885,76403658,839240220,168261,59136492
Massachusetts,2003,23995590000,1031934445,951190355,879815804,116037978,530224790,137045,71374551
Michigan,2003,31490290000,2151247000,2302509613,2203089013,187720556,1786876069,352290,99420600
Minnesota,2003,19271590000,1323393000,1060563000,992263000,134601000,640824000,185452,68300000
Mississippi,2003,6744430000,735733000,561219754,536569612,29369397,322226725,111650,24650142
Missouri,2003,14495630000,890581375,943946518,921090484,41694744,510849878,166014,22856034
Montana,2003,2234531000,146034002,130219422,126947574,3271848,128285421,34975,3271848
Nebraska,2003,5782234000,533314436,401179848,398670092,8604293,199578431,68672,2509756
Nevada,2003,6523872000,401635761,365185687,320402489,44783198,111376653,54037,44783198
New Hampshire,2003,4398079000,106872000,93334203,91779203,2704797,165504463,28068,1555000
New Jersey,2003,36977000000,1580361358,1442331543,1316395207,188388358,1054145792,194846,125936336
New Mexico,2003,4714074000,641703164,605012764,562322369,44982295,67043420,75847,42690395
New York,2003,88148630000,3497776487,3350309581,3020659581,577650000,1414803263,483417,329650000
North Carolina,2003,22488110000,2449659000,2083221446,2019460446,143003000,583577000,302159,63761000
North Dakota,2003,1791398000,203801000,161136356,159618969,1864031,106728157,34667,1517387
Ohio,2003,36577530000,2064474127,1766677465,1678239368,177027376,1560751676,352538,88438097
Oklahoma,2003,8460656000,838136140,717165439,683555180,37051498,228784278,128005,33610259
Oregon,2003,9359617000,635486463,621450676,607173046,17290276,470066274,125808,14277630
